Mes, DEM
2005-01-01, 33.815
2005-02-01, 26.144
2005-03-01, 32.542
2005-04-01, 33.573
2005-05-01, 57.735
2005-06-01, 68.672
2005-07-01, 75.899
2005-08-01, 70.315
2005-09-01, 73.991
2005-10-01, 32.450
2005-11-01, 57.948
2005-12-01, 62.691
2006-01-01, 35.896
2006-02-01, 42.535
2006-03-01, 19.068
2006-04-01, 10.653
2006-05-01, 39.904
2006-06-01, 79.399
2006-07-01, 88.641
2006-08-01,  89.665
2006-09-01, 71.346
2006-10-01, 67.696
2006-11-01, 62.621
2006-12-01, 67.454
2007-01-01, 75.956
2007-02-01, 69.338
2007-03-01, 86.712
2007-04-01, 75.768
2007-05-01, 89.602
2007-06-01, 109.202
2007-07-01, 134.388
2007-08-01, 138.226
2007-09-01, 129.269
2007-10-01, 130.371
2007-11-01, 131.172
2007-12-01, 128.602
2008-01-01, 80.737
2008-02-01, 112.098
2008-03-01, 125.945
2008-04-01, 119.659
2008-05-01, 150.049
2008-06-01, 164.594
2008-07-01, 172.056
2008-08-01, 171.758
2008-09-01, 163.427
2008-10-01, 160.487
2008-11-01, 157.661
2008-12-01, 157.847
2009-01-01, 138.907
2009-02-01, 115.788
2009-03-01, 147.696
2009-04-01, 131.304
2009-05-01, 152.205
2009-06-01, 168.771
2009-07-01, 175.198
2009-08-01, 174.728
2009-09-01, 165.728
2009-10-01, 164.905
2009-11-01, 189.018
2009-12-01, 151.355
2010-01-01, 160.147
2010-02-01, 157.117
2010-03-01, 169.090
2010-04-01, 151.770
2010-05-01, 196.083
2010-06-01, 231.520
2010-07-01, 238.836
2010-08-01, 246.076
2010-09-01, 252.130
2010-10-01, 247.094
2010-11-01, 245.906
2010-12-01, 197.839
2011-01-01, 195.036
2011-02-01, 210.515
2011-03-01, 207.289
2011-04-01, 201.624
2011-05-01, 230.131
2011-06-01, 273.992
2011-07-01, 291.648
2011-08-01, 316.617
2011-09-01, 308.914
2011-10-01, 308.150
2011-11-01, 288.533
2011-12-01, 266.721
2012-01-01, 242.231
2012-02-01, 273.144
2012-03-01, 293.963
2012-04-01, 263.482
2012-05-01, 277.399
2012-06-01, 316.224
2012-07-01, 335.044
2012-08-01, 313.659
2012-09-01, 297.157
2012-10-01, 268.449
2012-11-01, 235.473
2012-12-01, 228.834
2013-01-01, 225.628
2013-02-01, 230.851
2013-03-01, 224.101
2013-04-01, 228.471
2013-05-01, 296.186
2013-06-01, 285.895
2013-07-01, 318.340
2013-08-01, 328.965
2013-09-01, 322.125
2013-10-01, 299.595
2013-11-01, 285.676
2013-12-01, 273.064
2014-01-01, 271.943
2014-02-01, 273.099
2014-03-01, 333.483
2014-04-01, 299.773
2014-05-01, 317.585
2014-06-01, 366.654
2014-07-01, 356.895
2014-08-01, 353.363
2014-09-01, 320.829
2014-10-01, 312.552
2014-11-01, 315.770
2014-12-01, 292.919
2015-01-01, 269.560
2015-02-01, 268.720
2015-03-01, 328.621
2015-04-01, 263.710
2015-05-01, 288.273
2015-06-01, 341.817
2015-07-01, 364.744
2015-08-01, 383.604
2015-09-01, 347.715
2015-10-01, 370.496
2015-11-01, 324.846
2015-12-01, 303.151
2016-01-01, 270.585
2016-02-01, 317.594
2016-03-01, 294.167
2016-04-01, 279.226
2016-05-01, 381.789
2016-06-01, 400.484
2016-07-01, 421.830
2016-08-01, 395.056
2016-09-01, 393.276
2016-10-01, 356.585
2016-11-01, 418.175
2016-12-01, 382.000
2017-01-01, 243.192
2017-02-01, 194.292
2017-03-01, 283.187
2017-04-01, 231.510
2017-05-01, 246.595
2017-06-01, 296.195
2017-07-01, 359.655
2017-08-01, 396.049
2017-09-01, 339.913
2017-10-01, 348.532
2017-11-01, 344.195
2017-12-01, 291.075
2018-01-01, 233.638
2018-02-01, 184.180
2018-03-01, 248.060
2018-04-01, 199.646
2018-05-01, 281.116
2018-06-01, 324.680
2018-07-01, 324.487
2018-08-01, 348.871
2018-09-01, 379.603
2018-10-01, 305.253
2018-11-01, 261.931
2018-12-01, 326.927
2019-01-01, 273.997
2019-02-01, 223.671
2019-03-01, 251.221
2019-04-01, 216.011
2019-05-01, 274.232
2019-06-01, 348.390
2019-07-01, 369.086
2019-08-01, 410.228
2019-09-01, 393.841
2019-10-01, 377.210
2019-11-01, 307.138
2019-12-01, 223.419
2020-01-01, 225.829
2020-02-01, 220.935
2020-03-01, 130.564
2020-04-01, 24.939
2020-05-01, 76.006
2020-06-01, 241.643
2020-07-01, 330.720
2020-08-01, 381.995
2020-09-01, 370.579
2020-10-01, 378.665
2020-11-01, 428.471
2020-12-01, 286.194
2021-01-01, 189.490
2021-02-01, 202.898
2021-03-01, 246.159
2021-04-01, 193.038
2021-05-01, 307.852
2021-06-01, 378.646
2021-07-01, 392.825
2021-08-01, 440.550
2021-09-01, 433.259
2021-10-01, 367.259
2021-11-01, 335.970
2021-12-01, 276.927
2022-01-01, 258.188
2022-02-01, 208.146
2022-03-01, 227.798
2022-04-01, 191.694
2022-05-01, 302.929
2022-06-01, 347.639
2022-07-01, 398.569
2022-08-01, 405.134
2022-09-01, 405.664
2022-10-01, 427.084
2022-11-01, 443.330
2022-12-01, 425.790












